time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(-0.18, 0.04, 4.65);(1.61, 0.91, 4.55)

0;-0,0003422908;0,0003422908;(-0.1884665000, 1.0560330000);(-0.1233305000, 1.4530060000, -0.1113597000);1,019874;1,804296;;;-0,1884665;1,056033
0,0189346;-0,0007561817;0,0004138909;(-0.1883096000, 1.0556500000);(-0.1233305000, 1.4530060000, -0.1113597000);1,01949;1,804109;;;-0,1883096;1,05565
0,0279953;-0,0013230750;0,0005668933;(-0.1882456000, 1.0550870000);(-0.1232765000, 1.4530730000, -0.1114261000);1,018926;1,804002;;;-0,1882456;1,055087
0,0387203;-0,0017782780;0,000455203;(-0.1881465000, 1.0546430000);(-0.1232765000, 1.4530730000, -0.1114261000);1,018481;1,803869;;;-0,1881465;1,054643
0,0500015;-0,0021770353;0,0003987573;(-0.1880381000, 1.0542590000);(-0.1231545000, 1.4530990000, -0.1113331000);1,018097;1,803731;;;-0,1880381;1,054259
0,0610757;-0,0024221460;0,0002451107;(-0.1881544000, 1.0540430000);(-0.1231545000, 1.4530990000, -0.1113331000);1,017882;1,80383;;;-0,1881544;1,054043
0,0721746;-0,0026945187;0,0002723727;(-0.1881031000, 1.0537760000);(-0.1231000000, 1.4530660000, -0.1112413000);1,017614;1,803758;;;-0,1881031;1,053776
0,0833457;-0,0029483951;0,0002538764;(-0.1881963000, 1.0535400000);(-0.1231000000, 1.4530660000, -0.1112413000);1,017379;1,803833;;;-0,1881963;1,05354
0,0945501;-0,0033009388;0,0003525437;(-0.1882285000, 1.0531880000);(-0.1230185000, 1.4530630000, -0.1111392000);1,017028;1,803838;;;-0,1882285;1,053188
0,1058941;-0,0035659190;0,0002649802;(-0.1880679000, 1.0529780000);(-0.1230185000, 1.4530630000, -0.1111392000);1,016816;1,803662;;;-0,1880679;1,052978
0,117574;-0,0039531802;0,0003872612;(-0.1881482000, 1.0525990000);(-0.1229564000, 1.4530380000, -0.1110639000);1,016438;1,803713;;;-0,1881482;1,052599
0,1278069;-0,0042407089;0,0002875287;(-0.1882569000, 1.0523330000);(-0.1229564000, 1.4530380000, -0.1110639000);1,016172;1,803801;;;-0,1882569;1,052333
0,1390264;-0,0044187060;0,0001779971;(-0.1883616000, 1.0521890000);(-0.1229680000, 1.4529740000, -0.1111522000);1,016029;1,803895;;;-0,1883616;1,052189
0,1500971;-0,0042963054;0,0001224006;(-0.1882408000, 1.0522080000);(-0.1229680000, 1.4529740000, -0.1111522000);1,016047;1,803776;;;-0,1882408;1,052208
0,1612152;-0,0038932262;0,0004030792;(-0.1882231000, 1.0526110000);(-0.1229211000, 1.4529750000, -0.1110270000);1,01645;1,803789;;;-0,1882231;1,052611
0,1725381;-0,0033284411;0,0005647851;(-0.1878028000, 1.0529880000);(-0.1229211000, 1.4529750000, -0.1110270000);1,016825;1,803398;;;-0,1878028;1,052988
0,1839646;-0,0025065702;0,0008218709;(-0.1872743000, 1.0536180000);(-0.1228479000, 1.4528490000, -0.1109489000);1,017453;1,80292;;;-0,1872743;1,053618
0,1944739;-0,0012196022;0,001286968;(-0.1863531000, 1.0545160000);(-0.1228479000, 1.4528490000, -0.1109489000);1,018348;1,802071;;;-0,1863531;1,054516
0,2057376;0,0001908588;0,001410461;(-0.1852950000, 1.0554490000);(-0.1227621000, 1.4527850000, -0.1108829000);1,019278;1,801088;;;-0,185295;1,055449
